date,Energy_Consumption,Air_Temperature,Humidity,SolarRadiation,Cool_Temperature,Heat_Temperature,Interior_Temperature,Exterior_Temperature,Total_Occupants,Wifi_Users
23/03/2018,7441.099998,7.994114583,66.63947917,214.6960417,77.0578125,66.36770833,23.17657509,69.16090951,0,0
24/03/2018,5849.449998,8.59984375,73.34822917,190.5097917,74.87300347,68.44036458,23.12252127,,0,0
25/03/2018,6215.713335,7.617552083,71.74072917,204.22375,73.65,69.6,22.51805773,,0,0
26/03/2018,8116.576665,8.95609375,63.7778125,235.6635417,73.65,69.6,22.58031814,70.3416129,0,0
27/03/2018,9085.95,14.40114583,40.28479167,245.3761458,73.65,69.6,23.31209505,70.62848824,0,0
28/03/2018,9021.31999,16.8734375,50.55197917,248.593125,73.65,69.6,23.8362296,71.46870643,0,0
29/03/2018,9556.679999,19.87166667,36.685,250.9033333,73.65,69.6,23.95550477,71.54941786,0,0
30/03/2018,9392.249997,20.32994792,37.90333333,214.7189583,77.05199653,66.37439236,24.05546528,71.37668709,0,0
31/03/2018,7651.044476,17.92151042,50.24385417,221.6948958,74.87300347,68.44036458,23.89157335,71.28127859,0,0
01/04/2018,6882.980508,11.73677083,79.93895833,250.6789583,73.65,69.6,23.5695434,70.6839951,0,0
02/04/2018,7791.390005,13.68197917,65.345,252.291875,73.65,69.6,23.70946484,70.84911765,0,0
03/04/2018,6557.069988,12.13703125,70.1340625,258.0214583,73.65,69.6,23.96172352,71.40425245,0,0
04/04/2018,6543.170004,10.94734375,76.98364583,217.604375,73.65,69.6,24.1196263,71.66580065,0,0
05/04/2018,6467.209997,10.90973958,73.81770833,102.4926042,73.65,69.6,23.95651866,71.44653595,0,0
06/04/2018,5961.300005,12.54317708,91.52604167,49.149375,77.05303819,66.37352431,23.96250174,71.80615061,0,0
07/04/2018,4642.759999,13.776875,91.3403125,197.3440625,74.87300347,68.44036458,23.86116276,72.24435087,0,0
08/04/2018,4673.459997,11.72979167,76.20375,271.028125,73.65,69.6,23.63825,71.08827275,0,0
09/04/2018,7467.289371,14.87880208,59.06692708,251.7572917,73.65,69.6,23.79400477,71.4758691,0,0
10/04/2018,7107.970612,15.02859375,67.02072917,110.2378125,73.65000101,69.61470784,24.1719553,72.09160976,0,0
11/04/2018,6044.909991,10.48307292,79.25416667,175.5653125,73.64634146,69.65853659,23.88278385,71.320753,0,0
12/04/2018,6515.164993,8.481979167,74.2171875,168.2038542,73.63262195,69.64481707,23.48330469,70.54062092,0,0
13/04/2018,7991.714994,10.54265625,58.85010417,275.6169792,76.91946138,66.45994241,23.33962457,70.37387391,0,0
14/04/2018,7611.569994,14.5303125,62.766875,274.20125,74.79073509,68.47840447,23.52209939,71.01692947,0,0
15/04/2018,6229.439997,12.14697917,63.81322917,162.3883333,73.59756098,69.6097561,23.35503082,70.78278194,0,0
16/04/2018,7318.549997,8.204114583,79.08520833,192.6253125,73.59756098,69.6097561,23.02158724,69.73810769,0,0
17/04/2018,8216.022386,8.693333333,69.14708333,246.3961458,73.59205623,69.60425136,23.0374579,,0,0
18/04/2018,9721.162578,9.95453125,54.84625,184.478125,73.57317073,69.58536585,23.33221398,71.00833333,0,0
19/04/2018,8058.380009,9.965104167,65.8246875,287.4475,73.57317073,69.58536585,23.39495095,70.86029536,0,0
20/04/2018,8321.555007,13.1075,66.94302083,290.0371875,76.89320799,66.43665312,23.5840599,71.28533292,0,0
21/04/2018,7397.230002,13.83635417,67.98541667,287.7604167,74.76634485,68.45401423,23.52671745,71.18026688,0,0
22/04/2018,7797.945006,16.74026042,55.68677083,285.5395833,73.57317073,69.58536585,23.37098872,71.05960512,0,0
23/04/2018,8674.874998,17.0184375,58.13885417,290.6270833,73.57317073,69.58536585,23.58593403,71.40581019,0,0
24/04/2018,7620.609998,11.09088542,84.530625,263.3726042,73.57317073,69.58536585,23.79700087,71.40918164,0,0
25/04/2018,7896.225001,10.18854167,81.8059375,277.8980208,73.57317073,69.58536585,23.74834983,71.20171296,0,0
26/04/2018,7390.488334,9.841927083,79.70270833,251.8904167,73.56859756,69.58079268,23.7324388,71.19252042,0,0
27/04/2018,6305.806661,11.36192708,76.2078125,266.4935417,76.87440718,66.40760501,23.71725564,71.19410539,0,0
28/04/2018,6192.280004,11.6128125,76.9865625,231.5842708,74.74195461,68.42962398,23.59743576,71.09434777,0,0
29/04/2018,6010.219998,10.925,77.32572917,181.34875,73.54878049,69.56097561,23.2552487,70.48326661,0,0
30/04/2018,7911.629992,11.20546875,77.60166667,206.4765625,73.54878049,69.56097561,23.30652691,70.49161493,0,0
01/05/2018,8183.490004,11.1821875,72.8415625,275.3255208,73.54242886,69.55462398,23.53430469,70.13551505,0,0
02/05/2018,7582.379999,11.19578125,76.37739583,288.2995833,73.52439024,69.53658537,23.64711892,70.83202163,0,0
03/05/2018,7453.050002,10.15395833,85.61447917,194.3684375,73.52040989,69.53260501,23.69347005,71.05064218,0,0
04/05/2018,8237.304996,11.86135417,79.69270833,293.97625,76.79861111,66.337229,23.69409115,71.81253201,0,0
05/05/2018,6825.559998,12.77796875,73.156875,189.7004167,74.66878388,68.35645325,23.59419748,,0,0
06/05/2018,5943.570001,11.31625,78.155,271.7148958,73.47560976,69.48780488,23.2027947,,0,0
07/05/2018,8361.239998,14.26651042,64.68447917,295.1476042,73.47560976,69.48780488,23.36984635,72.095,0,0
08/05/2018,5697.789996,13.43552083,74.33604167,282.3646875,73.47560976,69.48780488,23.8975408,71.45994227,0,0
09/05/2018,,12.87229167,85.60541667,273.5539583,73.47560976,69.48780488,23.90471918,71.69510076,0,0
10/05/2018,7021.04167,13.82953125,70.8753125,305.4129167,73.47560976,69.48780488,23.82507378,71.52751906,0,0
11/05/2018,8318.475368,14.56302083,66.13479167,311.9269792,76.79454607,66.34078591,23.83964323,71.71259872,0,0
12/05/2018,6863.767989,17.50713542,46.50875,313.0438542,74.66878388,68.35645325,23.67452734,71.77906454,0,0
13/05/2018,5756.569995,11.03859375,85.92583333,175.6357292,73.47560976,69.48780488,23.45840408,71.18189815,0,0
14/05/2018,7046.869999,10.50494792,82.45614583,155.0855208,73.47560976,69.48780488,23.39512023,70.75625953,0,0
15/05/2018,6948.15,11.33078125,76.8671875,232.4461458,73.47560976,69.48780488,23.50297309,70.97837554,0,0
16/05/2018,7222.794993,11.653125,79.60822917,236.0036458,73.47560976,69.48780488,23.5956441,71.11610294,0,0
17/05/2018,7988.024994,12.50432292,78.89697917,301.6386458,73.47560976,69.48780488,23.60592622,71.04254962,0,0
18/05/2018,6440.519992,11.75369792,83.654375,183.55875,76.80030488,66.33519648,23.74792882,71.24268658,0,0
19/05/2018,5030.159994,11.42776042,80.6046875,249.3794792,74.66878388,68.35645325,23.52899878,70.9792549,0,0
20/05/2018,5187.909997,11.6821875,77.32729167,262.7528125,73.47146003,69.48365515,23.19752176,70.77460914,0,0
21/05/2018,7530.669998,12.25083333,76.48229167,305.7891667,73.45121951,69.46341463,23.287441,70.7466939,0,0
22/05/2018,6445.904993,10.83307292,86.99114583,102.9352083,73.45121951,69.46341463,23.55998589,71.01570942,17,101
23/05/2018,6458.356669,10.62875,92.38229167,94.554375,73.45121951,69.46341463,23.34981944,70.40247072,22,97
24/05/2018,7471.984999,10.789375,82.11114583,142.848125,73.45121951,69.46341463,23.28032552,70.33026416,37,109
25/05/2018,6819.833336,11.18661458,83.66729167,115.895,76.7739668,66.31275407,23.26065495,69.43149195,24,92
26/05/2018,5837.61,11.60776042,86.22072917,125.2459375,74.64439363,68.33206301,22.89222147,68.38009808,5,62
27/05/2018,5966.879997,14.17588542,72.32239583,322.6913542,73.45121951,69.46341463,22.5790625,,3,62
28/05/2018,6978.099995,18.8290625,53.85229167,323.9040625,73.45121951,69.46341463,22.81789167,,2,63
29/05/2018,8624.999346,19.9065625,54.53239583,325.3480208,73.45121951,69.46341463,23.30022917,70.91647059,13,111
30/05/2018,9118.195662,12.5203125,73.41979167,258.4469792,73.45121951,69.46341463,23.47244054,69.98961837,26,104
31/05/2018,6599.599998,11.23848958,73.05614583,288.1429167,73.45121951,69.46341463,22.9782947,69.76979343,21,97
01/06/2018,7385.579995,13.50989583,67.29208333,327.1254167,76.77599932,66.31089092,22.9197181,,22,87
02/06/2018,7886.634997,20.12869792,43.8328125,331.1114583,74.64439363,68.33206301,23.0754145,,1,57
03/06/2018,7791.429998,21.65614583,41.9515625,330.6029167,73.45121951,69.46341463,23.10698568,,1,56
04/06/2018,7798.77,16.62057292,60.5815625,331.4428125,73.45121951,69.46341463,23.19907943,70.2052,14,90
05/06/2018,7035.535,13.784375,67.63354167,340.4727083,73.44520664,69.45740176,23.17863433,69.88088077,21,91
